"V1","V2","V3","V4","V5"
1.40099651237957e-05,1.9116208249681e-06,1.24862172401485e-06,1.88180847637831e-06,9.41117709540862e-07
1.38036830990007e-05,2.10412438428342e-06,2.85419122914021e-06,1.30667821562902e-06,1.3402667271567e-06
2.94064732901944e-05,2.16691062449037e-06,1.40189437081162e-06,1.1874754735075e-06,8.83073896007502e-07
0.00020993761045629,3.54379529676763e-06,1.2999835492522e-06,1.25419226137957e-06,9.79460367034335e-07
0.0046868145487251,3.33474126112954e-06,1.59506071839566e-06,1.04633507302943e-06,1.45608890633753e-06
3.88408146276831e-05,1.65727935041993e-06,1.06012921041732e-06,1.25244113591272e-06,8.69932653246863e-07
3.93432826009121e-05,5.55072986263561e-06,1.54401099017321e-06,1.20558919380898e-06,9.87038831778975e-07
0.0038991059961353,1.41094451278079e-06,1.04497215502874e-06,1.00487843357477e-06,1.18439571861195e-06
0.000225584333805484,2.95443219600067e-06,1.3924976403068e-06,1.67177362619952e-06,9.70894150853496e-07
1.97105641859263e-05,1.12823620879166e-05,3.08748222166422e-06,1.33856673656396e-06,1.09655573110601e-06
1.09586432195385e-05,2.97492479628403e-06,2.5974994333211e-06,1.47986262133415e-06,9.57787029243207e-07
4.59129110810252e-05,3.64983700307242e-06,1.68164985536734e-06,1.04613620277583e-06,9.28619691809018e-07
3.80240791193476e-05,1.63481821768841e-06,1.65963063203378e-06,3.30922018831892e-06,1.09265722114671e-06
1.1561892041545e-05,3.84271323317087e-06,1.51019862792978e-06,1.08029528211873e-06,9.42116150648431e-07
1.82542756015369e-05,2.20945484841195e-06,1.57982970394599e-06,1.29848234009522e-06,1.04666650013741e-06
0.000201560532945955,5.49182273790194e-06,1.18379434299598e-06,1.53357066023929e-06,9.1484611219883e-07
4.81863868850851e-05,2.4313122566344e-06,1.09067650999606e-06,8.98153804884672e-07,1.00052466600609e-06
0.000329616542101396,2.62233652970068e-06,1.58498452362821e-06,1.38935325399991e-06,1.01489973602931e-06
5.65322828260939e-06,2.44415323624736e-06,1.94980342027584e-06,1.07120464853949e-06,9.61664669230089e-07
0.000142978952293538,2.89649410256665e-06,1.65727154222139e-06,1.87846314525508e-06,8.94849765176176e-07
0.000226966607520973,9.30255961484328e-06,1.54833152854472e-06,1.07893209566612e-06,1.01583268774519e-06
0.0002321598299031,2.98855526548181e-06,1.84139893599777e-06,1.3673559944305e-06,1.28030414381364e-06
5.34056651013692e-05,1.81436164359283e-06,2.05859566371203e-06,1.15924559551672e-06,9.98839493115966e-07
0.000933903166934202,1.06626389515529e-05,1.31040608342126e-06,1.39967543155706e-06,7.83387081426667e-07
1.26394669355268e-05,2.40622383551603e-06,1.63226689253726e-06,1.15261028454938e-06,9.37631110531356e-07
1.49427804734259e-05,5.19182569069798e-06,1.76391976047796e-06,1.4973308828381e-06,9.86499081312431e-07
0.000192043734962732,1.97331153883873e-05,1.45574044529972e-06,4.08117424122167e-06,9.53586298146902e-07
4.10552317022805e-05,3.98872218831947e-06,2.49466215862526e-06,1.57636093467417e-06,8.95432341607716e-07
0.000167342164061779,2.33813376260272e-06,1.69163585406196e-06,1.26642067965754e-06,1.04133044853683e-06
0.000241121356989948,3.69465328087237e-06,2.42371054404167e-06,1.4477142153968e-06,1.42123071822375e-06
5.35179473484249e-05,1.77770065468152e-06,1.40435675399786e-06,1.09829275363182e-06,8.97207673267175e-07
2.25080071534212e-05,1.3355317709518e-06,1.09643271462012e-06,1.29016418903838e-06,1.04203233974864e-06
1.55672393526984e-05,2.36839777079112e-06,2.6041452227954e-06,1.30363108108433e-06,1.00345137932223e-06
6.7160087892093e-05,1.80869235233416e-06,3.49642679697837e-06,1.50173236912465e-06,1.685027515963e-06
9.876065641512e-06,3.46277812734996e-06,1.80765503898783e-06,1.4901833991221e-06,9.43944586495604e-07
0.000759545353683277,6.34762153639556e-06,1.58300409514034e-06,1.01623959691821e-06,9.65884218828705e-07
7.70962800720199e-05,5.42376075274298e-06,3.33880070169101e-06,1.52864765468053e-06,1.83797367969696e-06
0.000115576409589702,9.40013608219381e-06,1.71755033617771e-06,1.00364641464346e-06,8.83738174861648e-07
0.00100957233164189,6.91973933109047e-06,1.93129446124374e-06,1.45293257425294e-06,9.38647798820469e-07
0.00155233431284851,3.57652517979368e-06,2.1563431056304e-06,1.17682179490153e-06,1.24872729112546e-06
0.000630826606817569,1.46343636475699e-06,2.80694100029955e-06,1.01562727716775e-06,9.44496290289365e-07
1.40205974559215e-05,4.27486449994241e-06,1.49264417848016e-06,1.36785809012885e-06,1.31066326858331e-06
0.000285433352527731,2.22406446392931e-06,1.0198175814935e-06,3.26330791833307e-06,9.70152842061367e-07
0.077007003311707,1.33109751376814e-06,1.30293904665457e-06,1.48467097949023e-06,1.07289389128518e-06
7.0424132672775e-05,5.6755128072794e-06,1.4018014309336e-06,2.49325000178935e-06,1.26919548404381e-06
1.12404100496288e-05,2.13236656021465e-06,2.70139889280152e-06,1.06755777440348e-06,1.21089445892508e-06
9.99492931690327e-05,3.52570902828475e-06,1.69274152606036e-06,1.1765663372465e-06,1.25440405307486e-06
0.00086332829209379,6.09827718855982e-06,2.34502629425926e-06,2.32682266143591e-06,8.56711763752571e-07
0.000150621222316571,9.46898708531485e-06,2.02086817169267e-06,1.03240292825824e-06,1.11912305222894e-06
0.00144780824345592,0.000180463230890826,2.56889997318765e-06,1.18478849953085e-06,9.09670128779183e-07
0.000196573209282791,1.75998052356352e-05,1.3309019646357e-06,1.19334797377135e-06,8.91268014724389e-07
0.000501825889213547,2.39876823449059e-06,4.48760691162953e-06,9.76518528927883e-07,1.22217028120097e-06
0.000150792584365345,1.39922802071535e-05,1.68577040704498e-06,1.12840471455655e-06,1.04385474553048e-06
0.00221261955106122,3.27957359136377e-06,1.78490006219612e-06,1.0725381609511e-06,1.53163816518642e-06
0.000111610220461689,2.29050315714296e-06,1.62887864485484e-06,1.45579737464985e-06,9.69057352140368e-07
1.81501044620447e-05,4.58137155878724e-06,2.89779978235316e-06,1.06236565122764e-06,9.48025752123272e-07
3.33093481994506e-05,3.29228635176371e-06,2.35844595208867e-06,1.57669114297931e-06,9.711420552172e-07
7.05452356342118e-05,2.10385689016768e-05,1.90424266333089e-06,1.34269640361673e-06,9.24501114329956e-07
1.32499731546609e-05,5.41306777512851e-06,1.51733747877358e-06,1.3398970641898e-06,1.36782538540103e-06
3.56157508929478e-05,6.51429447962038e-06,1.50552320539177e-05,1.39700120294073e-06,1.00282712223176e-06
0.000304160677244925,3.32264185143316e-06,1.57804963341057e-06,1.27075150202494e-06,1.13028505932533e-06
5.51620717827994e-05,0.000218405013807876,1.27678520622787e-06,2.43207641004162e-06,1.38573770325223e-06
7.83411504534648e-06,1.80272166572237e-06,1.70911737162882e-06,1.37034933977986e-06,1.13995647854637e-06
9.84226200897442e-05,3.59693710971776e-06,1.1184484245419e-06,1.19051674318804e-06,8.71370858579468e-07
3.24189274181208e-05,1.60968407150186e-05,1.96611578440198e-06,1.09996883357333e-06,9.25054323808183e-07
8.03365213815077e-05,3.68247210147388e-06,1.85406097585883e-06,1.18630285572685e-06,1.06344738948216e-06
0.000108027323643567,3.27633587282605e-06,1.22016356973731e-06,1.34668584239606e-06,1.27324612675395e-06
0.00203929795827018,5.19313490943141e-06,1.41882657200831e-06,1.20039485440593e-06,8.4326526850198e-07
8.21930463548171e-05,2.81961324977154e-06,1.40576414753291e-06,1.35583712812526e-06,9.29363364043923e-07
1.63875141514502e-05,3.10400831704527e-06,1.44237099997113e-06,1.35603510820204e-06,9.15125001554884e-07
0.000615029885953744,2.47732668423595e-06,1.31902844024978e-06,1.42393239643823e-06,1.07340003019374e-06
7.43952675763548e-05,2.70467284790854e-06,2.55772841861734e-06,1.30950740917513e-06,9.25394571860139e-07
0.000109360073152098,3.7830213032386e-05,1.69844193864677e-06,1.05621332635586e-06,1.20962303018501e-06
1.55408738760077e-05,2.34898446271892e-06,1.35222473685026e-06,1.14197494838209e-06,1.19065501080762e-06
0.000467655202096573,8.15805956322357e-06,1.34551175512421e-06,1.5461039899467e-06,9.34647289119184e-07
1.44562235639967e-05,1.76658230333082e-06,2.93662522854454e-06,1.52053975810418e-06,1.29785217350964e-06
4.20652239236929e-05,3.25319819527436e-06,2.38575169531074e-06,1.72882410165442e-06,1.23680000885251e-06
8.15970748626604e-05,2.81916185151942e-06,2.32875539696309e-06,1.17532238830265e-06,1.06814917089082e-06
0.000131871646076531,2.28741266439236e-06,1.52773339689993e-06,1.26870889438635e-06,1.25445618825992e-06
1.72250974546095e-05,3.50258244452561e-06,1.29873150189752e-06,1.28060268678176e-06,9.54127529428916e-07
0.000433143629669841,3.43905141253487e-06,1.22680075254067e-06,1.80110777137088e-06,1.00696195159955e-06
1.15919620369276e-05,4.30133707873814e-06,1.86871022966884e-06,1.34187590528079e-06,1.26041785830644e-06
3.53251538531829e-05,1.96686249798184e-06,2.2461466087087e-06,1.08701256151811e-06,9.07094144686482e-07
0.00136497044606454,4.19540733864743e-06,1.36906236081202e-06,1.02039915272911e-06,1.07363558421447e-06
1.72378596323686e-05,3.55173648016738e-05,1.45539505802539e-06,1.5813278477772e-06,8.4204517403208e-07
1.00177623194586e-05,3.12006765177397e-05,1.59062129134746e-06,1.12523547457499e-06,8.9403153435974e-07
0.000158499965174475,3.45110122457193e-06,2.79811875381064e-06,1.76931716922013e-06,8.88574526181074e-07
0.000538858987330304,4.35761268580137e-06,1.30555384791897e-06,1.26190289329031e-06,1.16956494555787e-06
0.00109346044775038,4.93484153762935e-06,1.96234923999228e-06,1.31998771735198e-06,1.2943723031178e-06
0.00010144896402875,9.82856591025261e-06,1.52494550431648e-06,1.75650618627898e-06,9.79949328794305e-07
0.000135123940978588,2.46121506108921e-06,1.12777382788032e-06,1.30335563008899e-06,9.0688307197162e-07
5.13893667557497e-05,1.82795264080937e-06,1.32550384845942e-06,1.44072864216582e-06,9.53787087309976e-07
5.28281562366395e-05,5.30689014310859e-06,1.03830230102631e-06,1.11486341558553e-06,1.06681887390714e-06
7.82761694735346e-05,7.30428529502891e-05,1.98460311007231e-06,1.6609863171535e-06,9.13562824278458e-07
0.00150194673052306,2.72196297634864e-06,2.96441960490057e-06,1.43441515776388e-06,9.80105872017134e-07
4.58860149055162e-06,7.60619738393586e-06,1.50212425276131e-06,1.15424789104424e-06,1.45713286991977e-06
1.63726533923825e-05,1.8146878711045e-05,2.42270531902733e-06,9.68099840958914e-07,8.89980558582693e-07
0.000619850890954954,2.43156302806025e-05,2.20397568395647e-06,1.66466732287596e-06,1.10172209910608e-06
0.00014239088182566,1.70658299025739e-06,1.67283687702025e-06,1.11090191534657e-06,1.10276212272886e-06
4.42520980370453e-06,5.84481656629166e-06,2.2669755870286e-06,1.36599214739519e-06,1.11927698931424e-06
0.00235093633560468,1.90237601249699e-06,1.98981819776733e-06,1.46281962631889e-06,1.0223430082501e-06
0.000416388724433281,3.92772762580762e-06,1.56623694880231e-06,9.45684712538863e-07,8.07668093072422e-07
4.00456290190476e-05,4.64173421972358e-05,1.33943609736953e-06,1.60129126869357e-06,1.10084749671557e-06
7.57253122307677e-05,2.16013305931462e-06,1.07815900962649e-06,1.22881496533722e-06,9.82899948320792e-07
0.000988245087397921,3.09992017744065e-06,1.11894232501797e-06,1.93960593342091e-06,1.60341828636668e-06
5.98001865337316e-06,7.10949847282372e-06,1.34555897002286e-06,1.22446899086803e-06,8.9742386988334e-07
5.37861233551595e-06,2.73160141017748e-06,1.3827401112998e-06,1.56731984835012e-06,1.12431771537302e-06
0.00236544095690072,3.1161024955928e-06,2.03701092771347e-06,1.2670969860018e-06,1.02244193289636e-06
4.23798751920668e-05,2.47612818315979e-06,1.18727460596268e-06,1.3552972282227e-06,9.39292430057748e-07
0.000162913823038124,3.99254581351371e-06,1.43957208931234e-06,2.55584179353896e-06,9.95582918994486e-07
0.00037804230506655,2.62176932985803e-06,1.49120386994106e-06,1.28291674572623e-06,9.9555304222676e-07
0.000256270806728409,2.63027757618772e-06,1.13986530281274e-06,1.3694573981482e-06,1.16475477529576e-06
2.62155892958305e-05,1.62875737848012e-05,1.4357987905278e-06,1.25993448274464e-06,1.13980734317565e-06
3.01318434177134e-05,2.91163138355088e-06,1.30170355094883e-06,1.17821937517526e-06,1.19976754087148e-06
9.01680994223053e-05,3.36791173061179e-06,1.65025917442385e-06,1.20878146958603e-06,8.53344935825007e-07
2.57468624043078e-05,2.55459984597195e-05,1.93172616036463e-06,1.05618464507629e-06,9.36369314086249e-07
5.79259544557509e-05,9.12607866188075e-06,1.62646377233067e-06,1.7148319166882e-06,1.04169933057285e-06
2.74403929410028e-05,3.75119075601837e-06,1.72339921800102e-06,1.16440191932909e-06,8.78343882293464e-07
0.000159196753651836,1.45624969971614e-06,1.70921794184764e-06,1.05792757820744e-06,1.17235021468431e-06
6.03420630327367e-05,1.14787672105265e-05,1.73642979084399e-06,1.36197599176491e-06,8.37736031433778e-07
0.00870256912732725,1.15786345982194e-05,1.56724960453936e-06,1.41305715772866e-06,1.01250464989988e-06
0.000251518857131039,1.52922734804051e-05,1.58245914083643e-06,1.05044177556302e-06,1.14084355140598e-06
0.000206771168615338,3.1925336232419e-06,1.93923460622969e-06,1.85114948458853e-06,1.29580487073788e-06
4.19785497294267e-05,1.94105286308588e-05,2.19141997837013e-06,1.30155247979324e-06,9.31062108966429e-07
0.000164607101996284,4.56502686563276e-06,1.03296118125762e-06,1.32112051187683e-06,2.71915544103329e-06
9.77588168045163e-05,5.54371650718366e-06,1.77289846514661e-06,1.29055080644314e-06,1.02944465929511e-06
