"V1","V2","V3","V4","V5"
0.0313929382346463,2.12551465028632e-05,2.20916200097676e-05,1.12442907644894e-05,1.12486996568517e-05
0.00102202202934665,2.75057954612912e-05,1.50177965434484e-05,1.03240696254225e-05,9.84561131733841e-06
0.00402994850581306,3.10866929473796e-05,1.96666231975229e-05,1.21249346773933e-05,1.05887070556143e-05
0.000728610970087251,2.50767202669699e-05,1.44173135265824e-05,1.8209808935854e-05,1.05769666545186e-05
8.47406371504711e-05,1.99466810768545e-05,1.2608831041927e-05,1.08632396860209e-05,9.7812523631724e-06
0.000193420488527662,2.044207706553e-05,9.28932140609184e-06,1.06991548767255e-05,1.01706966515458e-05
3.10007107091614e-05,4.09869738566826e-05,1.41367231947243e-05,1.19142810623973e-05,9.15501334164404e-06
0.00133347471440071,1.98701678586488e-05,1.43117651720814e-05,1.15544766843279e-05,1.0381204047949e-05
0.000202862276300397,3.21061208234941e-05,1.37728979834328e-05,1.23305619086356e-05,1.01244029306891e-05
0.00056114752791725,2.70667588762041e-05,1.43321070447122e-05,1.17466198794602e-05,9.86239738054451e-06
3.2732907082611e-05,1.40980858132078e-05,1.76705042416181e-05,1.01718320153488e-05,1.03971345724041e-05
0.000100544636239208,1.4169153807142e-05,1.19050004721011e-05,1.14506804860248e-05,1.00831027416426e-05
0.00578910602931071,1.59541652755557e-05,1.63902807555072e-05,1.17729862356697e-05,9.67505593507667e-06
0.000192392174215295,3.98559918397545e-05,1.21242146646772e-05,1.28800126502071e-05,9.96970357824978e-06
0.000553999474695033,2.20204348397868e-05,2.65992324279818e-05,1.1638179114204e-05,1.00097920316955e-05
0.000145992954107221,2.09465366602934e-05,1.18772362391883e-05,1.29055924262822e-05,8.18363112986553e-06
4.05044444207192e-05,1.94645581819142e-05,1.60219705620523e-05,1.51881654764097e-05,9.62130573789466e-06
5.18227629509038e-05,2.90754030067841e-05,1.16469649280582e-05,1.11988160715892e-05,8.76260876792045e-06
0.000695793675809631,1.70819535010303e-05,1.65299033900723e-05,9.28176729608765e-06,9.93667549065158e-06
