"V1","V2","V3","V4","V5"
0.000749292102245169,3.58893975982433e-06,1.41065358416625e-06,1.36977823150808e-06,8.92843807553945e-07
0.00172884590629341,6.43061626437458e-06,1.19201460080376e-06,1.31686862037128e-06,1.66423833114493e-06
0.00125055302795252,2.0973185594908e-06,1.75216791231669e-06,1.27621381085241e-06,1.00100259747826e-06
7.32651331738499e-05,8.39642565986232e-06,1.56289769526197e-06,1.03837040299481e-06,1.54873564706115e-06
5.03902335948769e-05,1.42176965756136e-06,1.05095044533599e-06,1.60053000564098e-06,1.01310460021153e-06
1.86364117247262e-05,1.95848016213418e-05,1.64891488774188e-06,1.1114752176411e-06,9.66243624667129e-07
0.0106696814511649,1.60298722740038e-06,1.37225124374751e-06,1.50322944603154e-06,9.45887145276103e-07
1.45154550015292e-05,3.37080688739277e-06,1.97824812486758e-06,1.33631533150158e-06,1.01979028355181e-06
0.000237222805005377,4.16248822232568e-06,2.14787142671646e-06,1.3149102011667e-06,1.17935704402328e-06
0.000117666921026327,4.65148485817579e-06,1.40501956913397e-06,1.21558723820137e-06,7.50800447146815e-07
0.000118823867802709,6.99825232186591e-06,1.39141526367403e-06,1.3794167115222e-06,8.72332757140271e-07
8.40704320381747e-06,5.23984531963784e-06,1.51186840846584e-06,1.51672557135996e-06,9.27754056245789e-07
1.50325785845951e-05,2.14127199660297e-06,1.36093039926344e-06,1.42574964501208e-06,1.38810374772369e-06
1.73223027115643e-05,2.51136667239749e-06,1.55603528928516e-06,1.24621822505944e-06,1.3609467917064e-06
0.00031720275846614,3.62963246414161e-06,2.66761581380059e-06,1.47805377892496e-06,8.66124363341214e-07
0.000309849849808419,5.05161956310118e-06,1.27886662237842e-06,1.45864555789466e-06,1.06306516611809e-06
0.000216776450914224,2.94434466696636e-06,1.47323073607097e-06,1.34604887946921e-06,1.03917137295184e-06
1.41067183798693e-05,2.25319995172946e-06,1.54838945465308e-06,1.06936972765759e-06,9.30978406143979e-07
1.443392628242e-05,3.08514112301594e-06,1.79388156329452e-06,1.50015552935479e-06,1.0609749052648e-06
1.83400052982119e-05,6.42395798133855e-06,2.6444225336153e-06,1.04201512218793e-06,9.18621125389762e-07
0.0169338862229105,2.40641576709777e-06,1.33727406170792e-06,9.82428014051351e-07,1.31556265148269e-06
0.00051516356381387,4.61602949908269e-06,2.0348491187594e-06,9.98794357442989e-07,8.01702123798265e-07
2.06974339942434e-05,2.50705004289919e-06,1.19044070379104e-06,1.0447978162631e-06,9.71889446255148e-07
3.52391455438195e-05,2.39585253014596e-06,2.60521145811765e-06,1.03518397298608e-06,9.02636224431319e-07
0.000390473058474283,2.83251879418245e-06,1.45308995413984e-06,1.29728974829213e-06,1.05774293990279e-06
2.12684224563109e-05,6.78685784438748e-06,1.75723176498721e-06,1.00260071844716e-06,8.67906818635689e-07
0.0659012579057079,1.7400313818694e-06,1.54239536165335e-06,1.27303592090122e-06,1.12494656412387e-06
0.00195280485643168,2.52911895159968e-06,2.06540911706909e-06,1.17660678156106e-06,1.14697647179973e-06
2.94550628689993e-05,2.58030031519141e-06,1.27644237291058e-06,1.5789531766508e-06,1.97699786030903e-06
2.98576867714395e-05,2.48480253706163e-06,1.15750711904283e-06,1.34676043783699e-06,1.00709009487332e-06
0.000106530414508921,5.55953880221338e-06,1.52100495198759e-06,1.62809972970024e-06,9.81316970127821e-07
2.54213889989696e-05,1.51278378934805e-06,1.9367975137019e-06,2.33271627836373e-06,1.05018974871918e-06
